,repository_name,Language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
21,amazon-pay-api-sdk-dotnet,C#
22,amazon-pay-api-sdk-java,Java
23,amazon-pay-api-sdk-nodejs,JavaScript
24,amazon-pay-api-sdk-php,PHP
25,amazon-pay-sdk-csharp,C#
26,amazon-pay-sdk-java,Java
27,amazon-pay-sdk-php,PHP
28,amazon-pay-sdk-python,Python
29,amazon-pay-sdk-ruby,Ruby
30,amazon-pay-sdk-samples,PHP
31,amazon-payment-files-tools,Kotlin
32,amazon-payments-magento-2-plugin,PHP
33,amazon-ray,Python
34,amazon-s3-gst-plugin,C
35,amazon-sidewalk-android-samples,Kotlin
36,amazon-sidewalk-ios-samples,Swift
37,amazon-succinct-doc-representation,Python
38,amazon-template-library,C++
39,amazon-weak-ner-needle,Python
40,amigitenough,Go
41,amzn-drivers,C
42,amzn-ec2-ena-utilities,Python
43,auction-gym,Jupyter Notebook
44,autotrail,Python
45,aws-apigateway-client-lib,
46,aws-sigv4-signing-samples,Java
47,awsssmchaosrunner,Kotlin
48,basis-point-sets,Python
49,buy-with-prime-oauth-handler-ec2,JavaScript
50,buy-with-prime-saas-integration,TypeScript
51,computer-vision-basics-in-microsoft-excel,
52,confident-sinkhorn-allocation,Jupyter Notebook
53,convolutional-handwriting-gan,Python
54,cosearcher,Python
55,credence-to-causal-estimation,Python
56,data-jack-knife,Java
57,debiased-balanced-interleaving,Jupyter Notebook
58,differential-privacy-bayesian-optimization,Python
59,distance-assistant,Python
60,drs-sample-android-app,Java
61,drs-sample-ios-app,Objective-C
62,emukit-playground,JavaScript
63,eslint-plugin-no-date-parsing,TypeScript
64,exoplayer-amazon-port,Java
65,explainable-text-vqa,
66,faithful-data2text-cycle-training,Python
67,fashion-attribute-disentanglement,Python
68,fire-app-builder,Java
69,firetv-sample-touch-app,Java
70,ftv-livetv-sample-tv-app,Java
71,gameon-sample-game-unity,C#
72,gameon-starter-kit-unity,C#
73,git-commit-template,JavaScript
74,glad,JavaScript
75,golang-gitoperations,Go
76,halo-third-party-sdk-for-java,Java
77,halo-third-party-sdk-for-node-js,TypeScript
78,halo-third-party-sdk-for-python,Python
79,hawktracer,C++
80,image-misspell-coling2020,
81,image-to-recipe-transformers,Python
82,ion-object-mapper-dotnet,C#
83,jekyll-doc-project,HTML
84,kqr,
85,login-with-amazon-oscommerce,PHP
86,login-with-amazon-wordpress,PHP
87,merlin-on-demand-callgraph,Java
88,metalearn-leap,Python
89,milan,Scala
90,multiconer-baseline,Python
91,multilingual-keyphrase-generation,Python
92,multimodal-affinities,Python
93,MXFusion,Python
94,nimbus-jose-jwt_aws-kms-extension,Java
95,openapi-swift-code-generate,Swift
96,orthogonal-additive-gaussian-processes,Python
97,oss-attribution-builder,TypeScript
98,oss-contribution-tracker,TypeScript
99,oss-dashboard,Ruby
100,pecos,Python
101,pretraining-or-self-training,Python
102,rdma-core,C
103,refuel-open-domain-qa,Python
104,rete-thewebconf-2022,Python
105,rheoceros,Python
106,robotiq-gripper-interface,C++
107,sample-fire-tv-app-video-skill,Java
108,selling-partner-api-docs,HTML
109,selling-partner-api-models,Java
110,selling-partner-api-samples,Java
111,seqzero,Python
112,service-model-swift-code-generate,Swift
113,sketch-constructor,JavaScript
114,smoke-aws,Swift
115,smoke-aws-credentials,Swift
116,smoke-aws-generate,Swift
117,smoke-aws-support,Swift
118,smoke-dynamodb,Swift
119,smoke-framework,Swift
120,smoke-framework-application-generate,Swift
121,smoke-framework-examples,Swift
122,smoke-http,Swift
123,sparse-vqvae,Python
124,ss-aga-kgc,Python
125,sto-transformer,Python
126,style-dictionary,JavaScript
127,supply-chain-simulation-environment,Python
128,tiny-attribution-generator,TypeScript
129,trans-encoder,Python
130,user-satisfaction-modeling,Python
131,workspace-resolver,JavaScript
132,xfer,Python
133,zeek-plugin-bacnet,Zeek
134,zeek-plugin-enip,Zeek
135,zeek-plugin-profinet,Zeek
136,zeek-plugin-s7comm,Zeek
137,zeek-plugin-tds,Zeek
138,zero-shot-rlhr,Python
